id,name,semantic_name,description,alt_text,category_slug,category,source_slide,slide_order,primary_use_group,use_groups,tags,png_512
business-finance-analytics-038,Candidate Search,candidate-search,"Magnifier over person, representing candidate search, recruitment screening, or people lookup.",Magnifier over person.,business-finance-analytics,"Business, Finance & Analytics",2,38,analytics-reporting,analytics-reporting;business-finance;design-creative-assets;digital-it-security;logistics-transport;people-hr-workforce;recruitment-talent,analytics-reporting;business-finance;business-finance-analytics;candidate;candidate-search;design-creative-assets;digital-it-security;logistics-transport;lookup;magnifier;or;over;people;people-hr-workforce;person;recruitment;recruitment-talent;representing;screening;search,png/512/business-finance-analytics/business-finance-analytics-038.png
business-finance-analytics-039,Money Growth,money-growth,"Banknote with sprout, representing financial growth, investment, or value creation.",Banknote with sprout.,business-finance-analytics,"Business, Finance & Analytics",2,39,analytics-reporting,analytics-reporting;business-finance;digital-it-security;innovation-growth;logistics-transport,analytics-reporting;banknote;business-finance;business-finance-analytics;creation;digital-it-security;financial;growth;innovation-growth;investment;logistics-transport;money-growth;or;representing;sprout;value;with,png/512/business-finance-analytics/business-finance-analytics-039.png
business-finance-analytics-040,Cash Medical Benefit,cash-medical-benefit,"Banknote with cross, representing medical benefit, health expense, or insurance payment.",Banknote with cross.,business-finance-analytics,"Business, Finance & Analytics",2,40,analytics-reporting,analytics-reporting;business-finance;design-creative-assets;digital-it-security;health-wellbeing-medical;logistics-transport,analytics-reporting;banknote;benefit;business-finance;business-finance-analytics;cash-medical-benefit;cross;design-creative-assets;digital-it-security;expense;health;health-wellbeing-medical;insurance;logistics-transport;medical;or;payment;representing;with,png/512/business-finance-analytics/business-finance-analytics-040.png
business-finance-analytics-041,Creative Idea Cloud,creative-idea-cloud,"Light bulb in thought cloud, representing ideation, creativity, or innovation mindset.",Light bulb in thought cloud.,business-finance-analytics,"Business, Finance & Analytics",2,41,analytics-reporting,analytics-reporting;business-finance;design-creative-assets;digital-it-security;innovation-growth;logistics-transport,analytics-reporting;bulb;business-finance;business-finance-analytics;cloud;creative-idea-cloud;creativity;design-creative-assets;digital-it-security;ideation;in;innovation;innovation-growth;light;logistics-transport;mindset;or;representing;thought,png/512/business-finance-analytics/business-finance-analytics-041.png
business-finance-analytics-042,Idea Speech Bubble,idea-speech-bubble,"Light bulb in speech bubble, representing shared ideas, brainstorming, or feedback.",Light bulb in speech bubble.,business-finance-analytics,"Business, Finance & Analytics",2,42,analytics-reporting,analytics-reporting;business-finance;health-wellbeing-medical;innovation-growth;logistics-transport,analytics-reporting;brainstorming;bubble;bulb;business-finance;business-finance-analytics;feedback;health-wellbeing-medical;idea-speech-bubble;ideas;in;innovation-growth;light;logistics-transport;or;representing;shared;speech,png/512/business-finance-analytics/business-finance-analytics-042.png
business-finance-analytics-043,Notebook Pencil,notebook-pencil,"Notebook with pencil, representing notes, planning, documentation, or learning.",Notebook with pencil.,business-finance-analytics,"Business, Finance & Analytics",2,43,analytics-reporting,analytics-reporting;business-finance;design-creative-assets;digital-it-security;documents-files-records;learning-education;logistics-transport,analytics-reporting;business-finance;business-finance-analytics;design-creative-assets;digital-it-security;documentation;documents-files-records;learning;learning-education;logistics-transport;notebook;notebook-pencil;notes;or;pencil;planning;representing;with,png/512/business-finance-analytics/business-finance-analytics-043.png
business-finance-analytics-044,Report Check Analysis,report-check-analysis,"Report with check mark and chart, representing verified analytics, audit, or approved report.",Report with check mark and chart.,business-finance-analytics,"Business, Finance & Analytics",2,44,analytics-reporting,analytics-reporting;business-finance;design-creative-assets;digital-it-security;documents-files-records;legal-compliance-governance;logistics-transport,analytics;analytics-reporting;and;approved;audit;business-finance;business-finance-analytics;chart;check;design-creative-assets;digital-it-security;documents-files-records;legal-compliance-governance;logistics-transport;mark;or;report;report-check-analysis;representing;verified;with,png/512/business-finance-analytics/business-finance-analytics-044.png
business-finance-analytics-045,Hand Cash,hand-cash,"Hand holding cash, representing payment, salary, allowance, or reimbursement.",Hand holding cash.,business-finance-analytics,"Business, Finance & Analytics",2,45,analytics-reporting,analytics-reporting;business-finance;logistics-transport,allowance;analytics-reporting;business-finance;business-finance-analytics;cash;hand;hand-cash;holding;logistics-transport;or;payment;reimbursement;representing;salary,png/512/business-finance-analytics/business-finance-analytics-045.png
business-finance-analytics-046,Money Bag,money-bag,"Money bag, representing payroll, savings, compensation, or financial value.",Money bag.,business-finance-analytics,"Business, Finance & Analytics",2,46,analytics-reporting,analytics-reporting;business-finance;design-creative-assets;logistics-transport,analytics-reporting;bag;business-finance;business-finance-analytics;compensation;design-creative-assets;financial;logistics-transport;money;money-bag;or;payroll;representing;savings;value,png/512/business-finance-analytics/business-finance-analytics-046.png
business-finance-analytics-047,Calculator Money,calculator-money,"Calculator with dollar, representing payroll, budgeting, accounting, or financial calculation.",Calculator with dollar.,business-finance-analytics,"Business, Finance & Analytics",2,47,analytics-reporting,analytics-reporting;business-finance;digital-it-security;logistics-transport,accounting;analytics-reporting;budgeting;business-finance;business-finance-analytics;calculation;calculator;calculator-money;digital-it-security;dollar;financial;logistics-transport;or;payroll;representing;with,png/512/business-finance-analytics/business-finance-analytics-047.png
business-finance-analytics-048,Cloud Workstation,cloud-workstation,"Cloud with monitor, representing cloud computing, digital workspace, or online services.",Cloud with monitor.,business-finance-analytics,"Business, Finance & Analytics",2,48,analytics-reporting,analytics-reporting;business-finance;digital-it-security;logistics-transport,analytics-reporting;business-finance;business-finance-analytics;cloud;cloud-workstation;computing;digital;digital-it-security;logistics-transport;monitor;online;or;representing;services;with;workspace,png/512/business-finance-analytics/business-finance-analytics-048.png
business-finance-analytics-049,Cloud Server,cloud-server,"Cloud server rack, representing cloud infrastructure, hosting, or data services.",Cloud server rack.,business-finance-analytics,"Business, Finance & Analytics",2,49,analytics-reporting,analytics-reporting;business-finance;digital-it-security;logistics-transport,analytics-reporting;business-finance;business-finance-analytics;cloud;cloud-server;data;digital-it-security;hosting;infrastructure;logistics-transport;or;rack;representing;server;services,png/512/business-finance-analytics/business-finance-analytics-049.png
business-finance-analytics-050,Employee Rating,employee-rating,"People with star ratings, representing performance rating, recognition, or talent assessment.",People with star ratings.,business-finance-analytics,"Business, Finance & Analytics",2,50,analytics-reporting,analytics-reporting;business-finance;digital-it-security;documents-files-records;logistics-transport;people-hr-workforce;recruitment-talent;rewards-recognition,analytics-reporting;assessment;business-finance;business-finance-analytics;digital-it-security;documents-files-records;employee-rating;logistics-transport;or;people;people-hr-workforce;performance;rating;ratings;recognition;recruitment-talent;representing;rewards-recognition;star;talent;with,png/512/business-finance-analytics/business-finance-analytics-050.png
people-work-management-001,Employee Badge Seal,employee-badge-seal,"Person inside award seal, representing certified employee, talent recognition, or profile badge.",Person inside award seal.,people-work-management,"People, Work & Management",3,1,digital-it-security,digital-it-security;documents-files-records;people-hr-workforce;recruitment-talent;rewards-recognition,award;badge;certified;digital-it-security;documents-files-records;employee;employee-badge-seal;inside;or;people-hr-workforce;people-work-management;person;profile;recognition;recruitment-talent;representing;rewards-recognition;seal;talent,png/512/people-work-management/people-work-management-001.png
people-work-management-002,Employee Settings,employee-settings,"Person inside gear, representing workforce configuration, HR process, or employee management.",Person inside gear.,people-work-management,"People, Work & Management",3,2,people-hr-workforce,people-hr-workforce,configuration;employee;employee-settings;gear;hr;inside;management;or;people-hr-workforce;people-work-management;person;process;representing;workforce,png/512/people-work-management/people-work-management-002.png
people-work-management-003,Time Cycle,time-cycle,"Clock with circular arrows, representing shift cycles, schedules, rotation, or time management.",Clock with circular arrows.,people-work-management,"People, Work & Management",3,3,digital-it-security,digital-it-security;people-hr-workforce;time-scheduling,arrows;circular;clock;cycles;digital-it-security;management;or;people-hr-workforce;people-work-management;representing;rotation;schedules;shift;time;time-cycle;time-scheduling;with,png/512/people-work-management/people-work-management-003.png
people-work-management-004,Employee Id Card,employee-id-card,"Printed employee ID card, representing identity, access, badge, or candidate profile.",Printed employee ID card.,people-work-management,"People, Work & Management",3,4,digital-it-security,digital-it-security;documents-files-records;legal-compliance-governance;people-hr-workforce;recruitment-talent;rewards-recognition,access;badge;candidate;card;digital-it-security;documents-files-records;employee;employee-id-card;id;identity;legal-compliance-governance;or;people-hr-workforce;people-work-management;printed;profile;recruitment-talent;representing;rewards-recognition,png/512/people-work-management/people-work-management-004.png
people-work-management-005,Employee Transfer,employee-transfer,"Two people with arrows, representing mobility, reassignment, employee transfer, or role change.",Two people with arrows.,people-work-management,"People, Work & Management",3,5,digital-it-security,digital-it-security;people-hr-workforce,arrows;change;digital-it-security;employee;employee-transfer;mobility;or;people;people-hr-workforce;people-work-management;reassignment;representing;role;transfer;two;with,png/512/people-work-management/people-work-management-005.png
people-work-management-006,Employee Shield,employee-shield,"Person inside shield, representing employee protection, trust, security, or compliance.",Person inside shield.,people-work-management,"People, Work & Management",3,6,digital-it-security,digital-it-security;legal-compliance-governance;people-hr-workforce;safety-hse,compliance;digital-it-security;employee;employee-shield;inside;legal-compliance-governance;or;people-hr-workforce;people-work-management;person;protection;representing;safety-hse;security;shield;trust,png/512/people-work-management/people-work-management-006.png
people-work-management-007,Team Group,team-group,"Three-person team, representing teamwork, workforce, crew, or collaboration.",Three-person team.,people-work-management,"People, Work & Management",3,7,learning-education,learning-education;people-hr-workforce,collaboration;crew;learning-education;or;people-hr-workforce;people-work-management;person;representing;team;team-group;teamwork;three;workforce,png/512/people-work-management/people-work-management-007.png
people-work-management-008,Empowerment Fist,empowerment-fist,"Raised fist, representing empowerment, strength, engagement, or labor voice.",Raised fist.,people-work-management,"People, Work & Management",3,8,learning-education,learning-education;people-hr-workforce,empowerment;empowerment-fist;engagement;fist;labor;learning-education;or;people-hr-workforce;people-work-management;raised;representing;strength;voice,png/512/people-work-management/people-work-management-008.png
people-work-management-009,Id Badge,id-badge,"ID badge, representing employee credentials, access, or official identification.",ID badge.,people-work-management,"People, Work & Management",3,9,legal-compliance-governance,legal-compliance-governance;people-hr-workforce;rewards-recognition,access;badge;credentials;employee;id;id-badge;identification;legal-compliance-governance;official;or;people-hr-workforce;people-work-management;representing;rewards-recognition,png/512/people-work-management/people-work-management-009.png
people-work-management-010,Interview Discussion,interview-discussion,"Two people in conversation, representing interview, coaching, mentoring, or discussion.",Two people in conversation.,people-work-management,"People, Work & Management",3,10,communication-support,communication-support;people-hr-workforce;recruitment-talent,coaching;communication-support;conversation;discussion;in;interview;interview-discussion;mentoring;or;people;people-hr-workforce;people-work-management;recruitment-talent;representing;two,png/512/people-work-management/people-work-management-010.png
people-work-management-011,Checklist Document,checklist-document,"Checklist document with pencil, representing tasks, assessment, onboarding, or compliance checklist.",Checklist document with pencil.,people-work-management,"People, Work & Management",3,11,design-creative-assets,design-creative-assets;digital-it-security;documents-files-records;legal-compliance-governance;people-hr-workforce;recruitment-talent,assessment;checklist;checklist-document;compliance;design-creative-assets;digital-it-security;document;documents-files-records;legal-compliance-governance;onboarding;or;pencil;people-hr-workforce;people-work-management;recruitment-talent;representing;tasks;with,png/512/people-work-management/people-work-management-011.png
people-work-management-012,Employee Status Card,employee-status-card,"Person over status bar, representing employee status, profile completeness, or progress.",Person over status bar.,people-work-management,"People, Work & Management",3,12,analytics-reporting,analytics-reporting;documents-files-records;innovation-growth;people-hr-workforce;recruitment-talent,analytics-reporting;bar;completeness;documents-files-records;employee;employee-status-card;innovation-growth;or;over;people-hr-workforce;people-work-management;person;profile;progress;recruitment-talent;representing;status,png/512/people-work-management/people-work-management-012.png
people-work-management-013,Candidate Search,candidate-search,"Magnifier over person, representing candidate search, recruitment, or people lookup.",Magnifier over person.,people-work-management,"People, Work & Management",3,13,design-creative-assets,design-creative-assets;digital-it-security;people-hr-workforce;recruitment-talent,candidate;candidate-search;design-creative-assets;digital-it-security;lookup;magnifier;or;over;people;people-hr-workforce;people-work-management;person;recruitment;recruitment-talent;representing;search,png/512/people-work-management/people-work-management-013.png
people-work-management-014,Compensation Hand,compensation-hand,"Hand with dollar, representing compensation, payroll, benefits, or reward.",Hand with dollar.,people-work-management,"People, Work & Management",3,14,business-finance,business-finance;design-creative-assets;digital-it-security;people-hr-workforce,benefits;business-finance;compensation;compensation-hand;design-creative-assets;digital-it-security;dollar;hand;or;payroll;people-hr-workforce;people-work-management;representing;reward;with,png/512/people-work-management/people-work-management-014.png
people-work-management-015,Employee Location,employee-location,"Person on map pin, representing employee location, site assignment, or job location.",Person on map pin.,people-work-management,"People, Work & Management",3,15,digital-it-security,digital-it-security;people-hr-workforce;recruitment-talent,assignment;digital-it-security;employee;employee-location;job;location;map;on;or;people-hr-workforce;people-work-management;person;pin;recruitment-talent;representing;site,png/512/people-work-management/people-work-management-015.png
people-work-management-016,Announcement Megaphone,announcement-megaphone,"Megaphone, representing employee announcement, communication, or internal campaign.",Megaphone.,people-work-management,"People, Work & Management",3,16,communication-support,communication-support;marketing-seo-content;people-hr-workforce,announcement;announcement-megaphone;campaign;communication;communication-support;employee;internal;marketing-seo-content;megaphone;or;people-hr-workforce;people-work-management;representing,png/512/people-work-management/people-work-management-016.png
people-work-management-017,Handshake Agreement,handshake-agreement,"Handshake, representing agreement, partnership, collaboration, or employment offer.",Handshake.,people-work-management,"People, Work & Management",3,17,design-creative-assets,design-creative-assets;learning-education;logistics-transport;offshore-marine;people-hr-workforce,agreement;collaboration;design-creative-assets;employment;handshake;handshake-agreement;learning-education;logistics-transport;offer;offshore-marine;or;partnership;people-hr-workforce;people-work-management;representing,png/512/people-work-management/people-work-management-017.png
people-work-management-018,Award Ribbon,award-ribbon,"Ribbon badge, representing award, certification, achievement, or recognition.",Ribbon badge.,people-work-management,"People, Work & Management",3,18,digital-it-security,digital-it-security;people-hr-workforce;rewards-recognition,achievement;award;award-ribbon;badge;certification;digital-it-security;or;people-hr-workforce;people-work-management;recognition;representing;rewards-recognition;ribbon,png/512/people-work-management/people-work-management-018.png
people-work-management-019,Calendar Schedule,calendar-schedule,"Calendar with clock, representing scheduling, interviews, roster, or appointments.",Calendar with clock.,people-work-management,"People, Work & Management",3,19,digital-it-security,digital-it-security;people-hr-workforce;recruitment-talent;time-scheduling,appointments;calendar;calendar-schedule;clock;digital-it-security;interviews;or;people-hr-workforce;people-work-management;recruitment-talent;representing;roster;scheduling;time-scheduling;with,png/512/people-work-management/people-work-management-019.png
people-work-management-020,Policy Book Info,policy-book-info,"Book with information mark, representing policy, guidebook, handbook, or reference material.",Book with information mark.,people-work-management,"People, Work & Management",3,20,communication-support,communication-support;design-creative-assets;digital-it-security;documents-files-records;learning-education;legal-compliance-governance;people-hr-workforce,book;communication-support;design-creative-assets;digital-it-security;documents-files-records;guidebook;handbook;information;learning-education;legal-compliance-governance;mark;material;or;people-hr-workforce;people-work-management;policy;policy-book-info;reference;representing;with,png/512/people-work-management/people-work-management-020.png
people-work-management-021,Briefcase Work,briefcase-work,"Briefcase, representing work, career, business role, or employment.",Briefcase.,people-work-management,"People, Work & Management",3,21,health-wellbeing-medical,health-wellbeing-medical;logistics-transport;people-hr-workforce,briefcase;briefcase-work;business;career;employment;health-wellbeing-medical;logistics-transport;or;people-hr-workforce;people-work-management;representing;role;work,png/512/people-work-management/people-work-management-021.png
people-work-management-022,Candidate Target,candidate-target,"Person inside target, representing recruitment targeting, talent matching, or role fit.",Person inside target.,people-work-management,"People, Work & Management",3,22,design-creative-assets,design-creative-assets;digital-it-security;people-hr-workforce;recruitment-talent,candidate-target;design-creative-assets;digital-it-security;fit;inside;matching;or;people-hr-workforce;people-work-management;person;recruitment;recruitment-talent;representing;role;talent;target;targeting,png/512/people-work-management/people-work-management-022.png
people-work-management-023,Money Timer,money-timer,"Stopwatch with dollar, representing pay timing, cost tracking, or time-related compensation.",Stopwatch with dollar.,people-work-management,"People, Work & Management",3,23,business-finance,business-finance;design-creative-assets;digital-it-security;people-hr-workforce;time-scheduling,business-finance;compensation;cost;design-creative-assets;digital-it-security;dollar;money-timer;or;pay;people-hr-workforce;people-work-management;related;representing;stopwatch;time;time-scheduling;timing;tracking;with,png/512/people-work-management/people-work-management-023.png
people-work-management-024,Presentation Chart,presentation-chart,"Presentation board with bar chart, representing reporting, training, or performance review.",Presentation board with bar chart.,people-work-management,"People, Work & Management",3,24,analytics-reporting,analytics-reporting;design-creative-assets;digital-it-security;documents-files-records;learning-education;people-hr-workforce,analytics-reporting;bar;board;chart;design-creative-assets;digital-it-security;documents-files-records;learning-education;or;people-hr-workforce;people-work-management;performance;presentation;presentation-chart;reporting;representing;review;training;with,png/512/people-work-management/people-work-management-024.png
people-work-management-025,Person Information,person-information,"Person with info bubble, representing employee information, HR support, or candidate help.",Person with info bubble.,people-work-management,"People, Work & Management",3,25,communication-support,communication-support;digital-it-security;documents-files-records;people-hr-workforce;recruitment-talent,bubble;candidate;communication-support;digital-it-security;documents-files-records;employee;help;hr;info;information;or;people-hr-workforce;people-work-management;person;person-information;recruitment-talent;representing;support;with,png/512/people-work-management/people-work-management-025.png
people-work-management-026,Top Performer Podium,top-performer-podium,"Person on first-place podium, representing top performer, achievement, or leadership.",Person on first-place podium.,people-work-management,"People, Work & Management",3,26,documents-files-records,documents-files-records;logistics-transport;offshore-marine;people-hr-workforce;rewards-recognition,achievement;documents-files-records;first;leadership;logistics-transport;offshore-marine;on;or;people-hr-workforce;people-work-management;performer;person;place;podium;representing;rewards-recognition;top;top-performer-podium,png/512/people-work-management/people-work-management-026.png
people-work-management-027,People Balance,people-balance,"People on balance scale, representing fairness, diversity, comparison, or evaluation.",People on balance scale.,people-work-management,"People, Work & Management",3,27,digital-it-security,digital-it-security;people-hr-workforce,balance;comparison;digital-it-security;diversity;evaluation;fairness;on;or;people;people-balance;people-hr-workforce;people-work-management;representing;scale,png/512/people-work-management/people-work-management-027.png
people-work-management-028,Support Agent,support-agent,"Headset support agent, representing HR helpdesk, customer service, or candidate support.",Headset support agent.,people-work-management,"People, Work & Management",3,28,communication-support,communication-support;facilities-workplace;people-hr-workforce;recruitment-talent,agent;candidate;communication-support;customer;facilities-workplace;headset;helpdesk;hr;or;people-hr-workforce;people-work-management;recruitment-talent;representing;service;support;support-agent,png/512/people-work-management/people-work-management-028.png
people-work-management-029,Strategy Checklist,strategy-checklist,"Clipboard with strategy marks, representing planning, goals, or action checklist.",Clipboard with strategy marks.,people-work-management,"People, Work & Management",3,29,digital-it-security,digital-it-security;documents-files-records;legal-compliance-governance;people-hr-workforce,action;checklist;clipboard;digital-it-security;documents-files-records;goals;legal-compliance-governance;marks;or;people-hr-workforce;people-work-management;planning;representing;strategy;strategy-checklist;with,png/512/people-work-management/people-work-management-029.png
people-work-management-030,Vision Eye,vision-eye,"Eye, representing visibility, monitoring, oversight, or awareness.",Eye.,people-work-management,"People, Work & Management",3,30,digital-it-security,digital-it-security;people-hr-workforce,awareness;digital-it-security;eye;monitoring;or;oversight;people-hr-workforce;people-work-management;representing;visibility;vision-eye,png/512/people-work-management/people-work-management-030.png
people-work-management-031,Team Collaboration,team-collaboration,"People, Work & Management icon for team collaboration: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for team collaboration: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,31,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;collaboration;employee;for;hr;icon;leadership;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;team;team-collaboration;work;workforce;workplace,png/512/people-work-management/people-work-management-031.png
people-work-management-032,Employee Profile,employee-profile,"People, Work & Management icon for employee profile: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for employee profile: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,32,documents-files-records,documents-files-records;office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;documents-files-records;employee;employee-profile;for;hr;icon;leadership;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;profile;recruitment-talent;team;work;workforce;workplace,png/512/people-work-management/people-work-management-032.png
people-work-management-033,Business Meeting,business-meeting,"People, Work & Management icon for business meeting: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for business meeting: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,33,business-finance,business-finance;office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,business;business-finance;business-meeting;candidate;employee;for;hr;icon;leadership;management;meeting;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;team;work;workforce;workplace,png/512/people-work-management/people-work-management-033.png
people-work-management-034,Leadership Group,leadership-group,"People, Work & Management icon for leadership group: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for leadership group: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,34,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;employee;for;group;hr;icon;leadership;leadership-group;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;team;work;workforce;workplace,png/512/people-work-management/people-work-management-034.png
people-work-management-035,Candidate Profile,candidate-profile,"People, Work & Management icon for candidate profile: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for candidate profile: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,35,documents-files-records,documents-files-records;office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;candidate-profile;documents-files-records;employee;for;hr;icon;leadership;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;profile;recruitment-talent;team;work;workforce;workplace,png/512/people-work-management/people-work-management-035.png
people-work-management-036,Office Worker,office-worker,"People, Work & Management icon for office worker: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for office worker: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,36,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;employee;for;hr;icon;leadership;management;office;office-corporate;office-worker;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;team;work;worker;workforce;workplace,png/512/people-work-management/people-work-management-036.png
people-work-management-037,Workforce Network,workforce-network,"People, Work & Management icon for workforce network: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for workforce network: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,37,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;employee;for;hr;icon;leadership;management;network;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;team;work;workforce;workforce-network;workplace,png/512/people-work-management/people-work-management-037.png
people-work-management-038,Manager Presentation,manager-presentation,"People, Work & Management icon for manager presentation: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for manager presentation: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,38,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;employee;for;hr;icon;leadership;management;manager;manager-presentation;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;presentation;recruitment-talent;team;work;workforce;workplace,png/512/people-work-management/people-work-management-038.png
people-work-management-039,Employee Growth,employee-growth,"People, Work & Management icon for employee growth: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for employee growth: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,39,innovation-growth,innovation-growth;office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;employee;employee-growth;for;growth;hr;icon;innovation-growth;leadership;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;team;work;workforce;workplace,png/512/people-work-management/people-work-management-039.png
people-work-management-040,People Connection,people-connection,"People, Work & Management icon for people connection: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for people connection: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,40,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;connection;employee;for;hr;icon;leadership;management;office;office-corporate;offshore-marine;or;people;people-connection;people-hr-workforce;people-work-management;recruitment-talent;team;work;workforce;workplace,png/512/people-work-management/people-work-management-040.png
people-work-management-041,Hr Workforce,hr-workforce,"People, Work & Management icon for hr workforce: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for hr workforce: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,41,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;employee;for;hr;hr-workforce;icon;leadership;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;team;work;workforce;workplace,png/512/people-work-management/people-work-management-041.png
people-work-management-042,Team Leadership,team-leadership,"People, Work & Management icon for team leadership: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for team leadership: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,42,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;employee;for;hr;icon;leadership;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;team;team-leadership;work;workforce;workplace,png/512/people-work-management/people-work-management-042.png
people-work-management-043,Professional Staff,professional-staff,"People, Work & Management icon for professional staff: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for professional staff: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,43,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;employee;for;hr;icon;leadership;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;professional;professional-staff;recruitment-talent;staff;team;work;workforce;workplace,png/512/people-work-management/people-work-management-043.png
people-work-management-044,Organization Chart,organization-chart,"People, Work & Management icon for organization chart: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for organization chart: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,44,analytics-reporting,analytics-reporting;office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,analytics-reporting;candidate;chart;employee;for;hr;icon;leadership;management;office;office-corporate;offshore-marine;or;organization;organization-chart;people;people-hr-workforce;people-work-management;recruitment-talent;team;work;workforce;workplace,png/512/people-work-management/people-work-management-044.png
people-work-management-045,Employee Support,employee-support,"People, Work & Management icon for employee support: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for employee support: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,45,communication-support,communication-support;office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;communication-support;employee;employee-support;for;hr;icon;leadership;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;support;team;work;workforce;workplace,png/512/people-work-management/people-work-management-045.png
people-work-management-046,Candidate Search,candidate-search,"People, Work & Management icon for candidate search: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.","People, Work & Management icon for candidate search: People, employee, team, leadership, workplace, office, candidate, or HR workforce icon.",people-work-management,"People, Work & Management",3,46,office-corporate,office-corporate;offshore-marine;people-hr-workforce;recruitment-talent,candidate;candidate-search;employee;for;hr;icon;leadership;management;office;office-corporate;offshore-marine;or;people;people-hr-workforce;people-work-management;recruitment-talent;search;team;work;workforce;workplace,png/512/people-work-management/people-work-management-046.png
